sample_id,substrate_material,coating_material,reinforcement,coating_method,electrolyte_composition,current_voltage_mode,ac_dc_mode,cooling_method,surface_preparation,reinforcement_percentage,particle_size,current_density,voltage,frequency,duty_cycle,treatment_time,temperature,pressure,spray_distance,surface_roughness,heat_treatment_temperature,heat_treatment_time,speed,num_passes,surface_hardness,corrosion_resistance,corrosion_rate,coating_thickness,porosity,pore_size,wear_resistance,experiment_id,data_source,is_demo,units,notes
S0001,Magnesium,Magnesium,Si3N4,plasma_spray,mixed_oxide,constant_voltage,DC,air,polished,10.911159838086272,5.671168602619217,58.31018242104499,92.42922177746716,1701.2910594633613,26.717190234505185,60.12003851254536,17.391961026007667,4.249577934338234,54.206534253112096,3.563896489531225,500.0,5.038557680548313,21.857640614505552,4.0,83.16984925665363,51.01890516813866,0.5143194802356235,70.92117753748303,9.472907313987147,0.46761184047961724,240.26772609352744,E001,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0002,Tantalum,Al2O3,Si3N4,anodizing,NaOH,constant_current,DC,oil,as_received,15.551280546456551,18.11410569199949,33.627767374319944,305.76556831882374,749.1641634615298,55.03305192713504,12.146006175395879,39.85913091671219,,117.74587035393273,3.4420958709172464,350.0,2.0914899294711846,21.043604876603165,6.0,105.43269343729071,28.66362441734993,0.6335665537387336,30.835707851172582,10.345204183964801,7.435392800889179,166.20558880012177,E001,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0003,Zirconium,TiO2,TiO2,anodizing,aluminate,constant_voltage,DC,water,ground,7.887925148785166,20.942717783720365,16.984303209792436,275.3687939091436,933.7737785570166,40.94921079056788,34.68397245969917,64.37872575921975,2.432265473433569,244.34818282190696,4.255254117222459,25.0,0.0,,6.0,185.08320293114437,15.355577793713284,1.397538680446298,21.542357931102796,9.565870455281745,6.3773411024140785,116.96188371998743,E001,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0004,Aluminum,ZrO2,ZrO2,anodizing,silicate,constant_current,DC,air,polished,11.956630104838892,2.0655948302483704,29.8495554053122,425.65607230157144,2653.7820096803475,51.01568335586705,97.4638845141778,63.93757723775901,2.106577845502708,277.4942766292796,4.191406160574627,500.0,10.083670467368693,24.824038767234494,2.0,201.14693172687666,20.10178727261013,1.1280812642437563,31.520364877659436,11.985776896037285,11.011664337642388,234.39407773131288,E001,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0005,Aluminum,Zirconium,none,plasma_spray,fluoride,constant_current,DC,air,as_received,0.0,0.0,3.201307251772729,282.3012935965182,4230.907646724939,88.55059516365831,91.44852734895824,20.584078821747305,,159.5841490593954,1.8100336375707524,500.0,8.409877419657313,,2.0,211.5873117816224,57.19523839849277,0.35254963909548875,49.77407407195863,3.857509512578827,5.140443871725196,162.4468069337426,E001,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0006,Tantalum,Tantalum,ZrO2,anodizing,NaOH,constant_current,AC,furnace,as_received,10.678612225301988,19.94805424112682,48.43606845552099,221.90798446218554,353.253578855553,56.31579057849841,105.71891278319845,54.616777660818734,4.638998369130231,70.37099503461658,2.4043850216042832,200.0,2.8056827530157924,2.9055363635639138,7.0,76.0528681573463,25.981422123086258,0.8822231635630445,35.928469179779505,14.044091662369212,6.698386037586342,131.4874036549614,E001,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0007,Magnesium,MgO,Si3N4,sol_gel,silicate,constant_current,DC,furnace,polished,18.241052742092116,21.748623177888785,,180.82745781647205,152.404545623247,45.28525190202645,74.2400999901946,24.286525205155733,3.4289866684564987,249.68218480712198,0.8929335503600346,250.0,9.31875421844149,18.483811920583737,5.0,148.63873147377143,23.18965269796829,3.112441640817351,9.825512241021523,6.973224464123552,2.0270125445937253,205.60885791662946,E001,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0008,Zirconium,Aluminum,TiO2,plasma_spray,KOH,constant_voltage,AC,furnace,sandblasted,15.976616173000325,17.475792436742054,19.216160821677292,189.07337273498555,2325.840679184216,94.10239206947831,53.63418245117633,47.058606636406566,0.9983306312271134,271.2926083181834,2.47988214199434,25.0,0.0,36.4136209197748,6.0,228.00244167556255,42.5143810521448,0.15531821028380988,71.11299405707759,5.022371586913832,4.57957345648154,219.87205286315648,E001,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0009,Magnesium,Zirconium,Si3N4,sol_gel,fluoride,constant_current,DC,air,ground,1.6450142921779194,16.87011902898442,34.35367627329166,513.923950913907,4780.937075268173,15.543331941460586,54.063024718761824,30.579570554672898,2.6698675534623613,153.41506767342986,1.9159565406947823,450.0,9.234118865138065,28.75773244444014,7.0,116.22910012012818,29.159843102875307,1.8528531010333922,32.318408694413584,10.738084212947758,15.645324094231093,120.71920800377416,E001,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0010,Magnesium,Aluminum,TiO2,electrodeposition,phosphate,constant_current,DC,water,ground,8.867427993650509,13.151076171954353,3.5355324131670334,132.53930104390616,1395.049017070632,,27.31000511668853,18.4554761627573,1.6039776480082553,110.83881348006926,0.7388959475527126,400.0,7.025072111308495,2.987205144189984,3.0,124.57427984874225,42.89509982665353,1.2043882322088262,24.18619256644473,0.7912562262788088,1.7992813377733063,156.46862946786644,E001,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
S0011,Zirconium,TiO2,SiC,anodizing,silicate,constant_current,AC,furnace,polished,14.11720895343747,16.33704125105831,5.679697051705446,544.0882122785752,4795.852695335241,52.64125657556606,79.84188057455641,20.20126265922962,4.482120484330169,60.99291705573632,2.813681934466996,25.0,0.0,35.47569900389065,1.0,246.6610476581509,7.687444011486768,0.6140312512085869,30.33022756677632,2.9308853680224356,18.46513970587972,227.20520462619308,E002,synthetic,True,synthetic_range,Auto-generated for development; not experimental data.
